Internal ID,Name,Code,Value,Product Group,Conditions,Shorten Ebay Title
25,Womens Golf Pants,WOMENPANTS,Womens Golf Pants,Bottom,"Brand New 10.0,New,New W/ Logo",
27,Womens Golf Shirts,WOMENSTOPS,Womens Golf Shirts,Top,"Brand New 10.0,New,New W/ Logo",
51,Womens Golf Shoe,WOMENSSHOE,Womens Golf Shoe,Shoes,"Brand New 10.0,New,New W/O Box",
26,Womens Golf Shorts,WOMENSHORT,Womens Golf Shorts,Bottom,"Brand New 10.0,New,New W/ Logo",
87,Womens Golf Skorts,WOMENSKORT,Womens Golf Skorts,Bottom,"Brand New 10.0,New,New W/ Logo",
28,Womens Golf Sweater,WOMENSWEAT,Womens Golf Sweater,Top,"Brand New 10.0,New,New W/ Logo",
84,Womens Long Sleeve Golf Shirts,WOMENLONG,Womens Long Sleeve Golf Shirts,Top,"Brand New 10.0,New,New W/ Logo",
85,Womens Short Sleeve Golf Shirt,WOMENSSLEV,Womens Short Sleeve Golf Shirt,Top,"Brand New 10.0,New,New W/ Logo",
86,Womens Sleeveless Golf Shirts,WOMENSLESS,Womens Sleeveless Golf Shirts,Top,"Brand New 10.0,New,New W/ Logo",
76,Wrench,WRENCH,Wrench,Accessory,"Brand New 10.0,Mint 9.5,New",
402,__SPECIAL__,__SPECIAL_,__SPECIAL__,,,
